Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
https://www.efront.com/fr/recherche-et-etudes/ai2-alternative-investment-meets-artificial-intelligence,text/html;charset=UTF-8,200,OK,Indexable,,AI²: Alternative Investments Meet Artificial Intelligence | eFront,66,546,,0,0,,0,AI²: ALTERNATIVE INVESTMENTS MEET ARTIFICIAL INTELLIGENCE,57,,0,Get This Research Paper,23,Thank you,9,,,,https://www.efront.com/fr/recherche-et-etudes/ai2-alternative-investment-meets-artificial-intelligence,,,,,,88271,1364,12.423,3,,7,3,0,0.45,125,49,0,13,9,0,,,,,6320884724451f8be22d7bd1a27fef77,0.272,,,,,1.1,https://www.efront.com/fr/recherche-et-etudes/ai2-alternative-investment-meets-artificial-intelligence,29/03/2022 10:39
https://www.efront.com/fr/partenaires,text/html;charset=UTF-8,200,OK,Indexable,,Partenaires | eFront,20,176,,0,0,,0,ASSOCIATIONS & PARTNERS,23,,0,,0,,0,,,,https://www.efront.com/fr/partenaires,,,,,,61075,1250,16.882,2,,971,322,0,47.92,124,47,0,13,9,0,,,,,8817d4830e446ae3bc6d19a8bf71badd,0.312,,,,,1.1,https://www.efront.com/fr/partenaires,29/03/2022 10:39
https://www.efront.com/en/brochures/efront-insight-sustainability-2,text/html;charset=UTF-8,200,OK,Indexable,,eFront Insight Sustainability | eFront,38,315,eFront Insight Sustainability helps private market investors to monitor and analyze portfolios and investments through an ESG lens. With actionable ESG risk metrics,164,1032,,0,eFront Insight Sustainability,29,,0,Download the brochure,21,Thank you for your interest in eFront,37,,,,https://www.efront.com/en/brochures/efront-insight-sustainability-2,,,,,,95327,1158,13.235,2,,7,3,0,0.45,140,48,0,13,9,0,,,,,401c5866ab0e7fdea3bb753417e97d,0.272,,,,,1.1,https://www.efront.com/en/brochures/efront-insight-sustainability-2,29/03/2022 10:38
https://www.efront.com/fr/news-press-releases/genesis-alternative-ventures-selects-efront-invest-as-its-loan-management-platform,text/html;charset=UTF-8,200,OK,Indexable,,Genesis Alternative Ventures selects eFront Invest as its loan management platform | eFront,91,810,,0,0,,0,,0,,0,Genesis Alternative Ventures selects eFront Invest as its loan management platform,82,Insight private equity benchmarks released for Q3 2021,54,,,,https://www.efront.com/fr/news-press-releases/genesis-alternative-ventures-selects-efront-invest-as-its-loan-management-platform,,,,,,63283,1472,18.567,3,,7,3,0,0.45,125,49,0,13,9,0,,,,,4639dda783b8cbacf5d6fbf33aeafa17,0.257,,,,,1.1,https://www.efront.com/fr/news-press-releases/genesis-alternative-ventures-selects-efront-invest-as-its-loan-management-platform,29/03/2022 10:39
https://www.efront.com/en/resources/client-testimonial-videos,text/html;charset=UTF-8,200,OK,Indexable,,Client Testimonials | eFront,28,239,,0,0,,0,CLIENT TESTIMONIAL VIDEOS,25,,0,General Partner,15,Limited Partner,15,,,,https://www.efront.com/en/resources/client-testimonial-videos,,,,,,73933,1155,13.108,1,,977,323,0,48.07,139,47,0,13,9,0,,,,,41b0d1e10e8225afad5282e7ce90f5a1,0.367,,,,,1.1,https://www.efront.com/en/resources/client-testimonial-videos,29/03/2022 10:38
https://www.efront.com/fr/news-press-releases/latest-enhancements-released-for-full-efront-solution-suite,text/html;charset=UTF-8,200,OK,Indexable,,Latest enhancements released for full eFront solution suite | eFront,68,586,,0,0,,0,Latest enhancements released for full eFront solution suite,59,,0,Insight private equity benchmarks released for Q3 2021,54,Insight private equity benchmarks released for Q2 2021,54,,,,https://www.efront.com/fr/news-press-releases/latest-enhancements-released-for-full-efront-solution-suite,,,,,,63280,1483,18.706,3,,7,3,0,0.45,125,49,0,13,9,0,,,,,2824c5b3bdd86dd9ce45ed6d1f516510,0.292,,,,,1.1,https://www.efront.com/fr/news-press-releases/latest-enhancements-released-for-full-efront-solution-suite,29/03/2022 10:39
https://www.efront.com/en/research-papers/global-private-equity-performance-series-july-28,text/html;charset=UTF-8,200,OK,Indexable,,Global private equity performance series july 28 | eFront,57,493,,0,0,,0,GLOBAL PRIVATE EQUITY PERFORMANCE SERIES,40,,0,Get This Research Paper,23,Thank you,9,,,,https://www.efront.com/en/research-papers/global-private-equity-performance-series-july-28,,,,,,88981,1268,11.6,2,,41,37,0,5.51,143,52,0,13,9,0,,,,,daf89a544019f81fad09f7bff1843442,0.702,,,,,1.1,https://www.efront.com/en/research-papers/global-private-equity-performance-series-july-28,29/03/2022 10:39
https://www.efront.com/en/case-studies/acumen,text/html;charset=UTF-8,200,OK,Indexable,,Acumen | eFront,15,145,,0,0,,0,ACUMEN,6,,0,eFront Pevara private equity benchmarks released for Q3 2019,60,eFront: How tech can unlock private markets,43,,,,https://www.efront.com/en/case-studies/acumen,,,,,,60180,1158,16.047,5,,5,1,0,0.15,141,50,0,13,9,0,,,,,37fdad54da4865cf630b2f519fed6872,0.238,,,,,1.1,https://www.efront.com/en/case-studies/acumen,29/03/2022 10:39
https://www.efront.com/fr/ressources/etudes-de-cas-clients,text/html;charset=UTF-8,200,OK,Indexable,,"Case Studies - General Partner, Limited Partner | eFront",56,498,,0,0,,0,ÉTUDES DE CAS CLIENTS,21,,0,Estera,6,Sumitomo Mitsui Asset Management implements eFront Invest GP,60,,,,https://www.efront.com/fr/ressources/etudes-de-cas-clients,,,,,,70455,1654,18.318,2,,971,322,0,47.92,135,58,0,13,9,0,,,,,2df4737c4c258bc11f3d30ee54df5412,0.537,,,,,1.1,https://www.efront.com/fr/ressources/etudes-de-cas-clients,29/03/2022 10:39
https://www.efront.com/en/news-press-releases/efront-simplifies-investor-onboarding-with-major-update-of-efront-investment-cafe,text/html;charset=UTF-8,200,OK,Indexable,,eFront simplifies investor onboarding with major update of eFront Investment Café | eFront,90,792,,0,0,,0,,0,,0,eFront simplifies investor onboarding with major update of eFront Investment Café,81,Insight private equity benchmarks released for Q3 2021,54,,,,https://www.efront.com/en/news-press-releases/efront-simplifies-investor-onboarding-with-major-update-of-efront-investment-cafe,,,,,,64938,1460,18.022,2,,9,5,0,0.74,145,52,0,13,9,0,,,,,7ae9ac8f5dc82db8a0c43ca336fc3f,0.337,,,,,1.1,https://www.efront.com/en/news-press-releases/efront-simplifies-investor-onboarding-with-major-update-of-efront-investment-cafe,29/03/2022 10:38
https://www.efront.com/fr/news-press-releases/efront-pevara-private-equity-benchmarks-updated-with-q2-2019-results,text/html;charset=UTF-8,200,OK,Indexable,,eFront Pevara private equity benchmarks updated with Q2 2019 results | BlackRock,80,736,,0,0,,0,eFront Pevara private equity benchmarks updated with Q2 2019 results,68,,0,Insight private equity benchmarks released for Q3 2021,54,Insight private equity benchmarks released for Q2 2021,54,,,,https://www.efront.com/fr/news-press-releases/efront-pevara-private-equity-benchmarks-updated-with-q2-2019-results,,,,,,62203,1308,16.986,3,,7,3,0,0.45,127,50,0,14,10,0,,,,,b0e1675694f9e1463792e59bcff4e66,0.35,,,,,1.1,https://www.efront.com/fr/news-press-releases/efront-pevara-private-equity-benchmarks-updated-with-q2-2019-results,29/03/2022 10:39
https://www.efront.com/fr/recherche-et-etudes/global-private-equity-performance-series-july-28,text/html;charset=UTF-8,200,OK,Indexable,,Global private equity performance series july 28 | eFront,57,493,,0,0,,0,GLOBAL PRIVATE EQUITY PERFORMANCE SERIES,40,,0,Get This Research Paper,23,Thank you,9,,,,https://www.efront.com/fr/recherche-et-etudes/global-private-equity-performance-series-july-28,,,,,,88202,1333,12.152,3,,41,37,0,5.51,125,49,0,13,9,0,,,,,f6ebf1aa98e62fd5b38ae1256f18d81c,0.319,,,,,1.1,https://www.efront.com/fr/recherche-et-etudes/global-private-equity-performance-series-july-28,29/03/2022 10:39
